"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"MATH 135 - TONG, J.",0.488,0.146,NA,NA,0.098,0.098,0.049,0.024,0.049,0.024,NA,NA,0.024
"MATH 135 - WINK, M.",0.436,0.026,NA,0.231,0.103,0.128,0.051,0.026,NA,NA,NA,NA,NA
"MATH 142 - HUANG, L.",0.583,0.222,NA,0.083,0.028,0.056,NA,NA,0.028,NA,NA,NA,NA
"MATH 142 - NURBEKYAN, L.",0.485,0.394,NA,0.03,0.03,0.061,NA,NA,NA,NA,NA,NA,NA
"MATH 151A - CARNEY, S.P.",0.707,0.098,NA,0.122,NA,0.024,0.024,0.024,NA,NA,NA,NA,NA
"MATH 151A - LI, W.",0.756,0.122,0.049,0.024,NA,0.024,0.024,NA,NA,NA,NA,NA,NA
"MATH 151A - MAIMAITIYIMING, W.",0.667,0.028,NA,0.111,0.056,0.028,NA,0.028,0.028,NA,NA,NA,0.056
"MATH 151A - VESE, L.A.",0.295,0.114,0.568,NA,NA,NA,NA,NA,0.023,NA,NA,NA,NA
"MATH 151B - WU FUNG, S.M.",0.83,0.043,NA,0.043,0.021,0.043,NA,NA,0.021,NA,NA,NA,NA
"MATH 156 - HADDOCK, J.",0.647,0.088,NA,0.118,NA,0.118,NA,NA,NA,NA,NA,NA,0.029
"MATH 164 - RADKE, E.M.",0.659,0.073,0.024,0.073,0.049,NA,0.049,0.024,0.024,NA,NA,0.024,NA
"MATH 164 - REBROVA, E.",0.465,0.07,0.056,0.225,0.028,0.056,0.014,0.014,NA,0.028,0.014,0.028,NA
"MATH 168 - PORTER, M.A.",0.609,0.087,NA,0.261,NA,NA,0.043,NA,NA,NA,NA,NA,NA
"MATH 170A - ISELI, A.U.",0.241,0.276,NA,0.241,0.034,0.138,0.034,NA,NA,NA,NA,NA,0.034
"MATH 170E - FORLANO, J.A.",0.371,0.229,NA,0.171,0.029,0.086,NA,NA,0.057,0.029,NA,0.029,NA
"MATH 170E - ISELI, A.U.",0.243,0.243,NA,0.108,0.162,0.162,0.054,NA,NA,NA,NA,NA,0.027
"MATH 170E - NAM, K.S.",0.146,0.171,0.098,0.122,0.122,0.122,0.122,0.024,0.049,NA,NA,0.024,NA
"MATH 170E - NGUYEN, H.D.",0.324,0.189,0.108,0.108,0.081,0.162,NA,NA,0.027,NA,NA,NA,NA
"MATH 170S - CHAN, S.",0.861,0.083,NA,0.028,NA,NA,NA,NA,NA,NA,NA,0.028,NA
"MATH 170S - LYU, H.",0.444,0.278,0.056,0.056,0.028,0.139,NA,NA,NA,NA,NA,NA,NA
"MATH 171 - VOSS, M.",0.405,0.216,NA,0.054,0.081,0.162,NA,NA,0.081,NA,NA,NA,NA
"MATH 174E - TAYLOR, D.W.",0.551,0.174,NA,0.058,0.072,0.13,NA,NA,0.014,NA,NA,NA,NA
"MATH 177 - KYE, Y.",0.908,NA,NA,0.013,0.013,0.026,0.013,NA,0.026,NA,NA,NA,NA
"MATH 178A - OZEL, E.",0.564,0.141,0.013,0.064,NA,0.128,0.026,0.013,0.051,NA,NA,NA,NA
"MATH 180 - MORENO, A.J.",0.537,0.171,NA,0.049,0.049,0.122,0.073,NA,NA,NA,NA,NA,NA
"MATH 182 - JACOBS, M.A.",0.641,0.231,0.026,NA,NA,0.026,0.051,NA,0.026,NA,NA,NA,NA
"MATH 206A - PAK, I.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATH 210A - BALMER, P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATH 215A - MANNING, J.A.",0.583,0.167,0.167,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"MATH 223M - RAMSEY, S.N.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATH 225A - HONDA, K.",0.357,0.429,NA,0.071,NA,0.071,0.071,NA,NA,NA,NA,NA,NA
"MATH 226C - LIU, K.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATH 237 - HILL, M.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATH 245A - GANGBO, W.D.",0.5,0.1,0.25,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA
"MATH 246A - TAO, T.C.",0.545,0.273,0.091,NA,NA,NA,NA,0.091,NA,NA,NA,NA,NA
"MATH 251A - KHITRIK, M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATH 255A - AUSTIN, T.D.",0.7,0.2,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"MATH 266A - ROPER, M.L.",0.909,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATH 269A - ANDERSON, C.R.",0.737,0.211,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATH 273A - MONTUFAR CUARTAS,",0.333,0.167,0.25,0.042,NA,0.167,NA,NA,NA,NA,NA,NA,0.042
"MATH 275A - BISKUP, M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATH 285D - MARKS, A.S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATH 285J - BERTOZZI, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATH 31A - MAIMAITIYIMING, W.",0.649,0.134,NA,0.109,0.02,0.04,0.01,NA,0.01,NA,NA,0.015,0.015
"MATH 31A - WILLIS, M.S.",0.514,0.163,NA,0.089,0.041,0.115,0.026,0.022,0.022,0.007,NA,NA,0.002
"MATH 31AL - CONLEY, W.J.",0.642,0.107,NA,0.079,0.028,0.065,0.033,0.014,0.019,0.005,NA,NA,0.009
"MATH 31B - ENAKOUTSA, K.",0.409,0.197,NA,0.136,0.076,0.091,0.03,0.02,0.03,NA,0.005,NA,0.005
"MATH 31B - GANNON, K.A.",0.625,0.147,0.051,0.074,0.015,0.051,0.007,NA,0.015,NA,NA,0.007,0.007
"MATH 31B - MORENO, A.J.",0.517,0.215,NA,0.049,0.068,0.073,0.029,NA,0.015,0.01,NA,0.024,NA
"MATH 31B - RADKE, E.M.",0.54,0.198,0.008,0.079,0.024,0.119,0.016,NA,NA,NA,0.008,NA,0.008
"MATH 32A - ENAKOUTSA, K.",0.653,0.153,NA,0.066,0.036,0.056,0.005,NA,0.026,NA,NA,0.005,NA
"MATH 32A - FILIPAZZI, S.",0.332,0.257,0.011,0.115,0.078,0.112,0.045,0.013,0.024,0.003,NA,0.003,0.008
"MATH 32A - SPAAS, P.",0.416,0.263,NA,0.068,0.056,0.109,0.035,0.009,0.027,NA,NA,0.006,0.012
"MATH 32AH - CONLEY, W.J.",0.789,0.158,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATH 32B - GLEIZER, O.",0.665,0.074,NA,0.049,0.034,0.118,0.005,0.015,0.005,0.005,0.015,0.01,0.005
"MATH 32B - VENKATESH, S.N.",0.241,0.105,NA,0.226,0.075,0.158,0.075,0.008,0.038,0.045,0.008,NA,0.023
"MATH 33A - MORRIS WRIGHT, R.",0.497,0.159,0.148,0.08,0.018,0.064,0.007,0.007,0.018,NA,NA,NA,0.002
"MATH 33A - SUZUKI, F.",0.668,0.106,0.019,0.067,0.019,0.082,0.014,0.01,NA,0.005,NA,NA,0.01
"MATH 33B - CONLEY, W.J.",0.611,0.083,0.056,0.139,NA,0.028,0.028,NA,0.028,NA,NA,0.028,NA
"MATH 33B - WANG, C.",0.766,0.065,0.104,0.012,0.005,0.028,0.005,NA,0.005,0.002,NA,0.002,0.007
"MATH 3A - GREENE, M.P.",0.74,0.041,0.151,NA,0.014,0.041,NA,NA,0.014,NA,NA,NA,NA
"MATH 42 - MENZ, G.",0.265,0.088,0.353,0.088,0.088,0.118,NA,NA,NA,NA,NA,NA,NA
"MATH 61 - OTTER, N.",0.48,0.064,0.187,0.094,0.058,0.058,0.012,NA,0.006,0.006,0.012,0.012,0.012
"MATH 61 - RAMSEY, S.N.",0.41,0.21,0.01,0.077,0.123,0.103,0.031,0.026,0.005,NA,NA,NA,0.005
"MC&IP 252 - WANG, Y.",0.286,0.429,0.143,NA,0.071,0.071,NA,NA,NA,NA,NA,NA,NA
"MCD BIO 104AL - LEE, P.",0.346,0.327,NA,0.096,0.038,0.192,NA,NA,NA,NA,NA,NA,NA
"MCD BIO 138 - RIGUEUR, D.",0.992,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCD BIO 144 - LOWRY, W.E.",0.34,0.309,0.011,0.064,0.021,0.213,NA,0.011,0.021,NA,NA,NA,0.011
"MCD BIO 146 - GOLDSTEIN, A.",0.573,0.115,0.135,0.031,0.031,0.094,NA,NA,0.021,NA,NA,NA,NA
"MCD BIO 165A - PRUNET, N.",0.415,0.283,0.031,0.063,0.013,0.189,NA,NA,NA,NA,NA,0.006,NA
"MCD BIO 180A - RIGUEUR, D.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCD BIO 191 - LIN, C.",0.333,0.333,0.083,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"MCD BIO 50 - LEE, P.",0.582,0.3,NA,0.018,0.009,0.055,0.018,0.009,0.009,NA,NA,NA,NA
"MCD BIO 60 - GALLAGHER, K.J.",0.759,0.194,NA,NA,NA,0.046,NA,NA,NA,NA,NA,NA,NA
"MCD BIO 90 - HOOSHMAND, M.J.",0.417,0.167,0.042,NA,NA,0.167,0.042,NA,0.125,0.042,NA,NA,NA
"MCD BIO M175A - CHANDLER, S.H.",0.308,0.154,NA,0.154,0.154,0.154,NA,NA,NA,0.077,NA,NA,NA
"MECH&AE 101 - GUPTA, V.",0.984,0.008,NA,NA,NA,0.008,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 102 - SANTOS, V.",0.298,0.064,0.394,0.096,0.011,0.096,0.011,0.011,0.011,NA,NA,NA,0.011
"MECH&AE 103 - KAVEHPOUR, H.P.",0.341,0.065,0.106,0.138,0.122,0.073,0.033,0.041,0.049,NA,0.008,0.016,0.008
"MECH&AE 105A - ABDOU, M.A.",0.227,0.093,0.072,0.237,0.041,0.227,0.041,0.01,0.021,NA,NA,NA,0.031
"MECH&AE 105D - HU, Y.",0.212,0.273,0.061,0.121,0.061,0.141,0.061,0.01,0.051,0.01,NA,NA,NA
"MECH&AE 107 - TSAO, T.",0.262,0.262,0.033,0.049,0.082,0.18,0.049,0.033,NA,NA,0.016,NA,0.033
"MECH&AE 131A - DHIR, V.K.",0.173,0.365,NA,0.058,0.019,0.385,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 150A - TAIRA, K.",0.38,NA,0.08,0.24,0.08,0.08,0.08,0.02,NA,0.04,NA,NA,NA
"MECH&AE 154B - TOOHEY, D.M.",0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 154S - TOOHEY, D.M.",0.571,NA,NA,0.19,0.048,0.095,0.095,NA,NA,NA,NA,NA,NA
"MECH&AE 156A - JIN, L.",0.303,0.212,0.091,0.03,0.061,0.121,0.091,NA,0.061,NA,NA,NA,0.03
"MECH&AE 157 - JU, S.",0.667,0.267,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 157 - LIN, N.",0.706,0.176,NA,NA,NA,0.088,NA,NA,NA,NA,NA,NA,0.029
"MECH&AE 161A - DAVOYAN, A.R.",0.687,0.06,NA,0.048,0.024,0.06,0.048,0.024,0.012,0.012,NA,NA,0.024
"MECH&AE 162A - HOPKINS, J.",0.287,0.149,0.46,0.034,0.011,0.046,0.011,NA,NA,NA,NA,NA,NA
"MECH&AE 166A - SEPULVEDA, A.E.",0.583,0.25,0.017,NA,0.017,0.1,0.017,NA,NA,0.017,NA,NA,NA
"MECH&AE 166C - CARMAN, G.P.",0.727,0.045,0.136,0.045,NA,0.045,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 169A - CHANG, S.",0.429,0.071,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 171A - IWASAKI, T.",0.176,0.216,0.078,0.098,0.137,0.137,0.039,0.02,0.039,NA,0.039,0.02,NA
"MECH&AE 174 - MOSLEH, A.",0.056,0.611,0.056,0.056,0.028,0.194,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 182C - ZHONG, X.",0.61,0.073,0.098,NA,0.049,0.122,0.024,NA,0.024,NA,NA,NA,NA
"MECH&AE 183A - LI, X.",0.139,0.333,0.056,0.111,NA,0.361,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 231A - AYYASWAMY, P.S.",0.3,0.2,0.1,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 250C - WIRZ, R.E.",0.375,0.225,0.1,0.2,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 261A - GOYAL, V.K.",0.5,NA,0.438,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 281 - KIM, C.",0.167,0.333,0.083,NA,NA,0.333,NA,NA,NA,NA,NA,NA,0.083
"MECH&AE 296B - GHONIEM, N.M.",0.207,0.31,0.241,0.138,0.034,0.069,NA,NA,NA,NA,NA,NA,NA
"MECH&AE 82 - CLITES, T.R.",0.34,0.155,0.117,0.146,0.019,0.107,0.058,0.01,0.019,NA,0.01,0.01,0.01
"MECH&AE 94 - GAO, E.X.",0.72,0.16,0.02,0.04,0.02,0.02,NA,NA,0.02,NA,NA,NA,NA
"MECH&AE C137 - GADH, R.",0.235,0.265,NA,0.147,NA,0.353,NA,NA,NA,NA,NA,NA,NA
"MECH&AE C150P - SPEARRIN, R.M.",0.293,0.341,0.073,0.098,0.049,0.073,0.024,0.024,NA,0.024,NA,NA,NA
"MECH&AE C163A - HONG, D.W.",0.133,0.133,0.133,0.067,0.067,0.333,NA,NA,0.133,NA,NA,NA,NA
"MECH&AE C237 - GADH, R.",0.174,0.391,0.043,0.13,0.043,0.217,NA,NA,NA,NA,NA,NA,NA
"MECH&AE C250P - SPEARRIN, R.M.",0.5,0.188,0.125,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MECH&AE C263A - HONG, D.W.",0.178,0.044,0.578,0.022,0.022,0.156,NA,NA,NA,NA,NA,NA,NA
"MECH&AE C271A - SPEYER, J.L.",0.357,0.321,0.143,0.036,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"MECH&AE C297A - LI, X.",0.303,0.303,NA,0.152,NA,0.242,NA,NA,NA,NA,NA,NA,NA
"MECH&AE M183B - CHIOU, P.",0.4,0.24,0.04,0.08,NA,0.24,NA,NA,NA,NA,NA,NA,NA
"MECH&AE M20 - KHALID JAWED, M.",0.59,0.076,0.2,0.01,0.057,0.029,NA,0.019,NA,NA,0.019,NA,NA
"MECH&AE M256A - MAL, A.K.",0.5,0.194,0.028,0.056,0.139,0.056,0.028,NA,NA,NA,NA,NA,NA
"MECH&AE M270A - M'CLOSKEY, R.T.",0.543,0.283,NA,0.13,NA,0.043,NA,NA,NA,NA,NA,NA,NA
"MECH&AE M287 - CHEN, Y.",0.562,0.188,0.062,NA,NA,0.125,NA,NA,NA,NA,NA,NA,0.062
"MGMT 108 - GUERIN, J.",0.159,0.19,0.016,0.159,0.111,0.143,0.048,0.063,0.079,0.016,NA,0.016,NA
"MGMT 108 - KLEIN, G.L.",0.127,0.177,0.19,0.089,0.089,0.19,0.013,NA,0.114,0.013,NA,NA,NA
"MGMT 120A - LU, M.",0.218,0.109,0.04,0.178,0.089,0.149,0.069,0.03,0.03,0.05,NA,0.02,0.02
"MGMT 120B - LU, M.",0.212,0.152,0.091,0.091,0.03,0.273,0.03,NA,NA,0.03,NA,0.03,0.061
"MGMT 121 - WILLIAMS, M.G.",0.948,0.013,NA,NA,0.013,0.013,0.013,NA,NA,NA,NA,NA,NA
"MGMT 122 - KUMAR, N.T.",0.789,0.171,NA,NA,0.013,0.013,0.013,NA,NA,NA,NA,NA,NA
"MGMT 123 - GARDNER TRELOAR, J",0.209,0.302,NA,0.093,0.163,0.116,0.07,NA,0.023,NA,NA,NA,0.023
"MGMT 124 - WILLIAMS, M.G.",0.341,0.205,0.023,0.136,0.023,0.159,NA,NA,0.091,NA,NA,NA,0.023
"MGMT 126 - BORMAN, C.J.",0.333,0.222,NA,0.111,0.037,0.185,NA,NA,0.037,NA,NA,NA,0.074
"MGMT 127A - GARDNER TRELOAR, J",0.314,0.176,NA,0.039,0.078,0.176,0.039,0.098,0.059,NA,NA,NA,0.02
"MGMT 127A - KLEIN, G.L.",0.111,0.365,0.127,0.127,NA,0.206,0.048,NA,NA,NA,NA,NA,0.016
"MGMT 127B - GARDNER TRELOAR, J",0.286,0.19,NA,0.095,0.048,0.19,0.095,0.048,NA,0.048,NA,NA,NA
"MGMT 142A - RAVETCH, D.S.",0.364,0.303,NA,0.061,NA,0.273,NA,NA,NA,NA,NA,NA,NA
"MGMT 160 - WILSON, N.M.",0.278,0.167,0.042,0.153,0.083,0.139,0.042,NA,0.056,0.014,0.014,NA,0.014
"MGMT 161 - AGHILI, K.",0.326,0.256,0.047,0.07,NA,0.302,NA,NA,NA,NA,NA,NA,NA
"MGMT 163 - ROSTAMIAN, F.D.",0.211,0.211,0.053,0.053,NA,0.474,NA,NA,NA,NA,NA,NA,NA
"MGMT 164 - BORMAN, C.J.",0.25,0.25,0.028,0.222,0.083,0.139,NA,NA,NA,NA,NA,NA,0.028
"MGMT 167 - NORTHROP, G.S.",0.3,0.325,0.075,0.1,0.025,0.175,NA,NA,NA,NA,NA,NA,NA
"MGMT 168 - PATT, S.S.",0.381,0.167,0.048,0.119,0.119,0.167,NA,NA,NA,NA,NA,NA,NA
"MGMT 170 - KARLAN, M.S.",0.19,0.273,0.008,0.174,0.066,0.24,0.008,NA,0.041,NA,NA,NA,NA
"MGMT 180 - WEINHAUS, E.A.",0.353,0.118,0.118,0.118,0.059,0.235,NA,NA,NA,NA,NA,NA,NA
"MGMT 1A - WOO, E.A.",0.618,0.033,0.067,0.148,0.003,0.028,0.081,0.006,0.008,0.003,NA,NA,0.006
"MGMT 1B - RAVETCH, D.S.",0.036,0.171,NA,0.189,NA,0.135,0.135,NA,0.189,0.054,NA,NA,0.09
"MGMT 220 - SUSSMAN, E.H.",0.182,0.309,NA,0.145,0.018,0.345,NA,NA,NA,NA,NA,NA,NA
"MGMT 224 - GUERIN, J.",0.323,0.292,0.031,NA,NA,0.354,NA,NA,NA,NA,NA,NA,NA
"MGMT 228 - CASKEY, J.A.",0.211,0.158,0.158,0.158,NA,0.263,NA,NA,NA,NA,NA,NA,0.053
"MGMT 231E - COCKRUM, W.M.",0.28,NA,0.14,0.32,0.02,0.24,NA,NA,NA,NA,NA,NA,NA
"MGMT 232D - GOUKASIAN, L.",0.22,0.22,0.049,0.098,0.122,0.268,NA,NA,NA,NA,NA,NA,0.024
"MGMT 250D - FIRSTENBERG, I.",0.581,0.28,0.065,NA,NA,0.075,NA,NA,NA,NA,NA,NA,NA
"MGMT 265 - POLLACK, G.J.",0.121,0.424,NA,0.152,NA,0.303,NA,NA,NA,NA,NA,NA,NA
"MGMT 266A - TERECH, A.",0.16,0.274,0.075,0.028,NA,0.462,NA,NA,NA,NA,NA,NA,NA
"MGMT 275 - BLEVINS, J.",0.158,0.211,0.158,0.158,0.132,0.184,NA,NA,NA,NA,NA,NA,NA
"MGMT 275 - MONTGOMERY, M.J.",0.143,0.204,0.061,0.306,0.02,0.265,NA,NA,NA,NA,NA,NA,NA
"MGMT 278A - HABIBI, P.B.",0.426,0.103,NA,0.368,NA,0.088,NA,0.015,NA,NA,NA,NA,NA
"MGMT 281B - CULBERT, S.A.",0.538,0.154,NA,0.154,NA,0.154,NA,NA,NA,NA,NA,NA,NA
"MGMT 285B - ULLMEN, J.B.",0.692,0.269,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGMT 286 - WHITSON, J.A.",0.212,0.221,0.15,0.133,NA,0.283,NA,NA,NA,NA,NA,NA,NA
"MGMT 293C - COCKRUM, W.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGMT 295A - WALSKE, J.M.",0.111,0.556,NA,0.111,0.056,0.167,NA,NA,NA,NA,NA,NA,NA
"MGMT 295D - ABE, G.J.",0.353,0.235,NA,0.059,NA,0.353,NA,NA,NA,NA,NA,NA,NA
"MGMT 298D - FRONS, B.S.",0.226,0.302,0.075,0.151,NA,0.245,NA,NA,NA,NA,NA,NA,NA
"MGMT 298D - SANDERS, B.J.",0.216,0.405,NA,0.108,0.027,0.243,NA,NA,NA,NA,NA,NA,NA
"MGMT 298D - WURSTER, T.S.",0.183,0.3,NA,0.117,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"MGMT 298D - YASMIN, S.",0.086,NA,0.8,0.029,0.029,NA,NA,NA,0.029,NA,NA,NA,0.029
"MGMT 298E - CORNELL, B.",0.844,NA,0.094,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"MGMT 298E - GABRIEL, S.A.",0.732,0.197,NA,0.028,NA,0.042,NA,NA,NA,NA,NA,NA,NA
"MGMT 298E - LEE, J.J.",0.186,0.372,0.209,0.07,NA,0.14,NA,NA,0.023,NA,NA,NA,NA
"MGMT 407 - HERMAN, A.D.",0.31,0.138,0.069,0.138,0.034,0.31,NA,NA,NA,NA,NA,NA,NA
"MGMT 425 - MCCANN, R.M.",0.652,NA,0.043,NA,NA,0.304,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 402 - LONG, E.F.",0.283,0.196,0.065,0.065,NA,0.391,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 402 - MAMANI, H.",0.1,0.317,0.133,0.25,0.05,0.15,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 402 - SARIN, R.K.",0.149,0.313,0.045,0.209,NA,0.284,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 409 - SHIH, M.J.",0.292,0.336,0.106,0.062,NA,0.204,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 409 - ULLMEN, J.B.",0.6,0.233,0.05,NA,NA,0.117,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 420 - GANDHI, A.D.",0.23,0.254,0.025,0.098,0.082,0.311,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 439 - ERICKSON, C.L.",0.167,0.381,0.071,NA,NA,0.381,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 439 - MCCANN, R.M.",0.609,0.078,NA,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 439 - NICKELSBURG, G.",0.458,0.167,0.042,0.083,0.083,0.167,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 439 - UNZUETA, M.M.",0.109,0.236,0.091,0.291,NA,0.273,NA,NA,NA,NA,NA,NA,NA
"MGMTEX 440 - HAYN, C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 401 - DAI, H.",0.169,0.239,0.07,0.254,0.014,0.254,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 401 - DEVOE, S.E.",0.242,0.273,0.045,0.227,NA,0.212,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 401 - SHIH, M.J.",0.296,0.383,0.062,0.173,NA,0.074,0.012,NA,NA,NA,NA,NA,NA
"MGMTFE 401 - WHITSON, J.A.",0.425,0.062,0.038,0.312,NA,0.162,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 401 - WU, J.",0.203,0.304,0.038,0.228,NA,0.228,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 402 - MAMER, J.W.",0.359,0.141,NA,0.128,NA,0.372,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 402 - MISIC, V.",0.408,0.3,0.033,0.136,0.009,0.113,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 402 - SARIN, R.K.",0.253,0.291,0.025,0.127,NA,0.304,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 409 - DAI, H.",0.213,0.228,0.044,0.199,NA,0.316,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 409 - SHIH, M.J.",0.262,0.388,0.062,0.062,0.013,0.212,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 409 - WU, J.",0.358,0.107,0.05,0.201,NA,0.283,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 410 - BRAVO PLAZA, F.",0.257,0.186,0.053,0.15,0.035,0.319,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 410 - CASTRO, F.",0.156,0.297,0.031,0.125,0.062,0.328,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 410 - RAJARAM, K.",0.228,0.215,0.013,0.241,0.089,0.215,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 420 - GANDHI, A.D.",0.415,0.207,0.146,0.061,NA,0.159,0.012,NA,NA,NA,NA,NA,NA
"MGMTFE 420 - KAO, J.L.",0.176,0.253,0.077,0.198,0.088,0.209,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 427B - SCHEINROCK, J.I.",0.547,0.192,0.186,0.017,NA,0.058,NA,NA,NA,NA,NA,NA,NA
"MGMTFE 428B - SCHEINROCK, J.I.",0.448,0.239,0.119,0.045,NA,0.149,NA,NA,NA,NA,NA,NA,NA
"MGMTFT 401B - CARUSO, E.M.",0.232,0.217,0.043,0.232,0.014,0.246,NA,NA,0.014,NA,NA,NA,NA
"MGMTFT 401B - DAI, H.",0.175,0.238,0.079,0.286,NA,0.222,NA,NA,NA,NA,NA,NA,NA
"MGMTFT 401B - DEVOE, S.E.",0.219,0.274,0.055,0.205,0.014,0.233,NA,NA,NA,NA,NA,NA,NA
"MGMTFT 401B - SHIH, M.J.",0.426,0.074,0.044,0.118,0.074,0.265,NA,NA,NA,NA,NA,NA,NA
"MGMTFT 401B - WU, J.",0.2,0.3,0.043,0.2,0.014,0.243,NA,NA,NA,NA,NA,NA,NA
"MGMTFT 402 - LONG, E.F.",0.443,0.067,0.04,0.054,0.013,0.376,NA,NA,0.007,NA,NA,NA,NA
"MGMTFT 402 - SIDDIQ, A.A.",0.31,0.399,0.089,0.03,NA,0.172,NA,NA,NA,NA,NA,NA,NA
"MGMTFT 403 - SAAVEDRA LUX, D.A.",0.226,0.231,0.072,0.2,0.087,0.185,NA,NA,NA,NA,NA,NA,NA
"MGMTFT 403 - TRUEMAN, B.M.",0.382,0.268,NA,0.106,0.057,0.146,0.016,NA,0.024,NA,NA,NA,NA
"MGMTFT 405 - GIULIANO, P.",0.249,0.208,0.046,0.213,0.03,0.254,NA,NA,NA,NA,NA,NA,NA
"MGMTFT 405 - WASSERMAN, M.S.",0.197,0.252,0.054,0.211,0.041,0.245,NA,NA,NA,NA,NA,NA,NA
"MGMTFT 408 - HARTMAN-GLASER, B.",0.27,0.207,0.09,0.135,0.072,0.207,NA,NA,0.018,NA,NA,NA,NA
"MGMTFT 411 - HERSHFIELD, H.E.",0.242,0.258,0.076,0.061,0.015,0.348,NA,NA,NA,NA,NA,NA,NA
"MGMTFT 411 - SHADDY, F.P.",0.347,0.076,0.071,0.124,0.035,0.347,NA,NA,NA,NA,NA,NA,NA
"MGMTGEX 406B - GOLDSTEIN, N.J.",0.31,0.069,0.138,0.172,0.034,0.276,NA,NA,NA,NA,NA,NA,NA
"MGMTGEX 440 - TERECH, A.",0.3,0.3,0.2,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"MGMTGEX 445C - BLEVINS, J.",0.414,0.207,0.241,0.034,NA,0.103,NA,NA,NA,NA,NA,NA,NA
"MGMTMFE 400 - CHERNOV, M.",0.152,0.174,0.217,0.043,NA,0.413,NA,NA,NA,NA,NA,NA,NA
